,z,csfh,csfh_lo,csfh_hi
0,0.063825043,-1.927352520450584,-2.1007701012396978,-1.6775374989083933
1,0.117639039,-1.5883064915458274,-1.6712472742032953,-1.5246550669266432
2,0.175137307,-1.7466411777451158,-1.828284871568934,-1.647062648832651
3,0.246489606,-1.4741812244366714,-1.5326110623606979,-1.4218605698899396
4,0.324923848,-1.2650878013894937,-1.320077005681075,-1.2179223242447472
5,0.409939511,-1.3370904285492515,-1.3830434274861778,-1.2988169484272944
6,0.510920419,-1.4229989807264563,-1.4612510009429163,-1.3684964421580603
7,0.625752906,-1.2557392156727605,-1.305471961339854,-1.2195866690806387
8,0.756477233,-1.1108816181971704,-1.1551140756224103,-1.0725254877909483
9,0.918815426,-0.9663108404317203,-1.0024223721646206,-0.8948824452436408
10,1.109016796,-1.0539983488451607,-1.108542326241273,-1.0058246525084653
11,1.33668903,-1.0205236537022238,-1.0853805711536015,-0.9700406887706444
12,1.613940683,-1.1390964649302013,-1.2505153224203496,-1.0060228701248672
13,2.000307244,-1.2408980028973926,-1.3550453601353416,-1.0610165189326168
14,2.416552247,-1.2682342412130985,-1.3844886011859006,-1.1525652539472815
15,2.960674248,-1.076408241259578,-1.176852441050207,-0.9727124777937369
16,3.517766802,-1.1840747315187126,-1.2818444054894158,-1.0546115659048199
17,4.015564359,-1.6126645769630066,-1.7390835658776438,-1.4184977219960009
